,furniture_type,name,discounted_price,original_price,product_details
0,Kitchen Cabinet,NEUDOT BAILEYS Engineered Wood Bar Cabinet,"₹9,926","₹24,000","[<li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">Knock Down</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1200 mm x 1850 mm x 350 mm (3 ft 11 in x 6 ft x 1 ft 1 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
1,Kitchen Cabinet,Ognija ognijawirablackwalnut001 Solid Wood Bar Cabinet,"₹1,529","₹2,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
2,Kitchen Cabinet,Allie Wood Sheesham Wood Bar Cabinet Rack for Home (Nat...,"₹13,344","₹32,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">DIY(Do-It-Yourself)</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1325.88 mm x 863.6 mm x 508 mm (4 ft 4 in x 2 ft 10 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
3,Kitchen Cabinet,FURINNO wooden large cabinet Solid Wood Bar Cabinet,"₹14,439","₹28,499","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1290.3 mm x 878.8 mm x 657.8 mm (4 ft 2 in x 2 ft 10 in x 2 ft 1 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
4,Kitchen Cabinet,Thar eCraft Mini Bar Cabinet/Wine Rack Holder for Home/...,"₹1,797","₹3,156","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 450 mm x 120 mm (1 ft 11 in x 1 ft 5 in x 4 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
5,Kitchen Cabinet,Ognija sheesham wood wall mini bar cabinet Solid Wood B...,"₹1,529","₹2,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
6,Kitchen Cabinet,Barewether Engineered Wood Bar Cabinet,"₹7,890","₹10,499","[<li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">Knock Down</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 46.99 cm x 179.832 cm x 46.99 cm (1 ft 6 in x 5 ft 10 in x 1 ft 6 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
7,Kitchen Cabinet,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,"₹8,489","₹14,739","[<li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
8,Kitchen Cabinet,Marutiwod Solid Wood Bar Cabinet,"₹14,959","₹58,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 588 mm x 1803.4 mm x 431.8 mm (1 ft 11 in x 5 ft 11 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
9,Kitchen Cabinet,Cherry Wood Rosewood (Sheesham) Wood Bar Cabinet Rack f...,"₹13,038","₹38,599","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">DIY(Do-It-Yourself)</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1320 mm x 889 mm x 508 mm (4 ft 3 in x 2 ft 10 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
10,Kitchen Cabinet,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,"₹8,489","₹14,739","[<li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
