ID,Product Name,Product Description,Price,Availability,Color,Img Path,Product Link
ALK231009,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,In Stock,NAVY,images\ALK231009,https://pk.khaadi.com/fabrics-3-piece-suit-alk231009-1001785332.html
BLK231004,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,In Stock,OLIVE,images\BLK231004,https://pk.khaadi.com/fabrics-3-piece-suit-blk231004-1001786404.html
ACA231008,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3490,In Stock,BEIGE,images\ACA231008,https://pk.khaadi.com/fabrics-3-piece-suit-aca231008-1001785303.html
ILK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Bottoms,3990,In Stock,D-GREEN,images\ILK231001,https://pk.khaadi.com/fabrics-2-piece-ilk231001-1001786386.html
JK231001,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,In Stock,WHITE,images\JK231001,https://pk.khaadi.com/fabrics-2-piece-jk231001-1001786381.html
MLK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Dupatta,3390,In Stock,GREEN,images\MLK231001,https://pk.khaadi.com/fabrics-2-piece-mlk231001-1001786400.html
AK231006,Fabrics 3 Piece Suit,Printed Khaddar | Top Bottoms Dupatta,3490,In Stock,ORANGE,images\AK231006,https://pk.khaadi.com/fabrics-3-piece-suit-ak231006-1001785319.html
BLK231001,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,In Stock,NAVY,images\BLK231001,https://pk.khaadi.com/fabrics-3-piece-suit-blk231001-1001786413.html
JK231002,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,In Stock,ORANGE,images\JK231002,https://pk.khaadi.com/fabrics-2-piece-jk231002-1001786382.html
BCH231002,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,In Stock,BEIGE,images\BCH231002,https://pk.khaadi.com/fabrics-3-piece-suit-bch231002-1001785367.html
ALK231017,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,In Stock,NAVY,images\ALK231017,https://pk.khaadi.com/fabrics-3-piece-suit-alk231017-1001785347.html
BCH231003,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,In Stock,D-PINK,images\BCH231003,https://pk.khaadi.com/fabrics-3-piece-suit-bch231003-1001785370.html
